uid;abstract_id;conference_acronym;conference_place;creators_json;creator_names;creators_amount;creators_group_type;creators_group_publication;groups_with_female;creators_with_female_YN;creators_with_female_amount;creators_with_male_amount;creators_group_interdisciplinary;title;format_type
14000;0;DHd 2014;Passau;[{'affiliation': 'Ruhr-Universität-Bochum, Deutschland', 'name': 'Arzhanov, Yury'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Deutschland', 'name': 'Roeder, Thorsten'}];"Arzhanov, Yury;Roeder, Thorsten";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_INTER;The Glossarium Graeco-Arabicum;
14001;1;DHd 2014;Passau;[{'affiliation': 'Heidelberg University, Germany', 'name': 'Bögel, Thomas'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Strötgen, Jannik'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Mayer, Christoph'}, {'affiliation': 'Heidelberg University, Germany', 'name': 'Gertz, Michael'}];"Mayer, Christoph;Gertz, Michael";4;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;4;Kleingruppe_INTER;A Flexible NLP Pipeline for Computational Narratology;
14002;2;DHd 2014;Passau;[{'affiliation': 'Stiftung Archiv der deutschen Frauenbewegung, Kassel, Deutschland', 'name': 'Wolff, Kerstin'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften, Berlin, Deutschland', 'name': 'Geyken, Alexander'}, {'affiliation': 'Institut für Germanistik und Zentrum für Medien und Interaktivität der JLU Gießen, Deutschland', 'name': 'Gloning, Thomas'}];"Wolff, Kerstin;Geyken, Alexander;Gloning, Thomas";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;Frauenfragen um 1900 als Gegenstand kontroverser Kommunikation im Umkreis der ›ersten‹ Frauenbewegung. Wie können digitale Ressourcen die Untersuchung und die Ergebnisdokumentation verbessern?;
14003;3;DHd 2014;Passau;[{'affiliation': 'Institut für Europäische Kunstgeschichte, Universität Heidelberg, Germany', 'name': 'Wübbena, Thorsten'}, {'affiliation': 'Exzellenzcluster 'Asien und Europa', Universität Heidelberg, Germany', 'name': 'Arnold, Matthias'}, {'affiliation': 'Exzellenzcluster 'Asien und Europa', Universität Heidelberg, Germany', 'name': 'Decker, Eric'}];"Wübbena, Thorsten;Arnold, Matthias;Decker, Eric";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;"'""Losing My Religion' – Einsatz einer Videoannotationsdatenbank in der kunstgeschichtlichen Analyse von Musikvideos""";
14004;4;DHd 2014;Passau;[{'affiliation': 'Universität Konstanz, Germany', 'name': 'Bögel, Tina'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Gold, Valentin'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Hautli-Janisz, Anette'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Rohrdantz, Christian'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Sulger, Sebastian'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Butt, Miriam'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Holzinger, Katharina'}, {'affiliation': 'Universität Konstanz, Germany', 'name': 'Keim, Daniel A.'}];"Bögel, Tina;Gold, Valentin;Hautli-Janisz, Anette;Rohrdantz, Christian;Sulger, Sebastian;Butt, Miriam;Holzinger, Katharina;Keim, Daniel A.";8;Großgruppe;;Großgruppe_WAHR;WAHR;4;4;Großgruppe_NICHT;Auf den Weg zur Visualisierung von linguistischen Mustern der Deliberation: eine Fallstudie anhand der Daten von S21;
14005;5;DHd 2014;Passau;[{'affiliation': 'Max-Planck-Institut für europäische Rechtsgeschichte', 'name': 'Caesar, Ingo'}, {'affiliation': 'Institut für Philosophie der Goethe-Universität Frankfurt', 'name': 'Wagner, Andreas'}];"Caesar, Ingo;Wagner, Andreas";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_INTER;Die Schule von Salamanca. Eine digitale Quellensammlung und ein Wörterbuch ihrer juristisch-politischen Sprache;
14006;6;DHd 2014;Passau;[{'affiliation': 'Karlsruher Institut für Technologie, Germany', 'name': 'Chandna, Swati'}, {'affiliation': 'Universität Trier, Germany', 'name': 'Busch, Hannah'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Krause, Celia'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Schmid, Oliver'}, {'affiliation': 'Technische Universität Darmstadt, Universität Trier, Germany', 'name': 'Vanscheidt, Philipp'}];"Chandna, Swati;Busch, Hannah;Krause, Celia;Schmid, Oliver;Vanscheidt, Philipp";5;Kleingruppe;;Kleingruppe_WAHR;WAHR;3;2;Kleingruppe_INTER;eCodicology - Mittelalterliche Handschriften als Gegenstand 'archäologischer' Forschung;
14007;7;DHd 2014;Passau;[{'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Chiarcos, Christian'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Chobotsky, Jens'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Detmold, Gaye'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Mittmann, Roland'}, {'affiliation': 'Goethe Universität Frankfurt, Germany', 'name': 'Sukhareva, Maria'}];"Chiarcos, Christian;Chobotsky, Jens;Detmold, Gaye;Mittmann, Roland;Sukhareva, Maria";5;Kleingruppe;;Kleingruppe_WAHR;WAHR;2;3;Kleingruppe_NICHT;New Technologies for Old Germanic Languages: Resources and Research on Parallel Gospels in Older Continental Western Germanic;
14008;8;DHd 2014;Passau;[{'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'Cividini, Iacopo'}, {'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'De Feo, Adriana'}, {'affiliation': 'Stiftung Mozarteum Salzburg, Austria', 'name': 'Kelnreiter, Franz'}];"Cividini, Iacopo;De Feo, Adriana;Kelnreiter, Franz";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;Zwischen Ton und Textgenese: Digital gestützte Verfahren zur kritischen Edition von Operntexten in der 'Online-Edition der Libretti zu Mozarts Opern';
14009;9;DHd 2014;Passau;[{'affiliation': 'Albertina, Austria', 'name': 'Doppelbauer, Regina'}];Doppelbauer, Regina;1;Single;;Single_WAHR;WAHR;1;0;Single_NICHT;Albertina - Sammlungen online: eine digitale Ressource und ihre Nutzung;
14010;10;DHd 2014;Passau;[{'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Germany', 'name': 'Drechsel, Susanne'}, {'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Germany', 'name': 'Ebel, Alexandra'}, {'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Germany', 'name': 'Förster, Johannes'}];"Drechsel, Susanne;Ebel, Alexandra;Förster, Johannes";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;2;1;Kleingruppe_INTER;Deutsche Aussprachedatenbank & 'Sprechendes' Aussprachewörterbuch – Nutzen und Grenzen digitaler Werkzeuge für die anwenderorientierte Darstellung empirischer Ergebnisse der phonetischen Eindeutschungsforschung;
14011;11;DHd 2014;Passau;[{'affiliation': 'Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung, Germany', 'name': 'Drechsler, Jessica'}, {'affiliation': 'Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung, Germany', 'name': 'Strötgen, Robert'}];"Drechsler, Jessica;Strötgen, Robert";2;Duo;;Duo_WAHR;WAHR;1;1;Duo_NICHT;Digitale Forschungsinfrastrukturen für die internationale Bildungsmedienforschung – praxisorientierte Einblicke in die Anforderungsanalyse und Evaluierung;
14012;12;DHd 2014;Passau;[{'affiliation': 'Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Germany', 'name': 'Ebneth, Bernhard'}, {'affiliation': 'Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Germany', 'name': 'Lanzinner, Maximilian'}, {'affiliation': 'Historisches Lexikon der Schweiz', 'name': 'Jorio, Marco'}, {'affiliation': 'Institut für Sächsische Geschichte und Volkskunde', 'name': 'Schattkowsky, Martina'}, {'affiliation': 'Deutsches Forschungszentrum für Künstliche Intelligenz', 'name': 'Declerck, Thierry'}, {'affiliation': 'Institut für Neuzeit- und Zeitgeschichtsforschung, Österreichische Akademie der Wissenschaften', 'name': 'Feigl, Roland'}, {'affiliation': 'Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften', 'name': 'Gruber, Christine'}, {'affiliation': 'Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften', 'name': 'Wandl-Vogt, Eveline'}, {'affiliation': 'Historische Kommission bei der Bayerischen Akademie der Wissenschaften, Germany', 'name': 'Reinert, Matthias'}];"Ebneth, Bernhard;Lanzinner, Maximilian;Jorio, Marco;Schattkowsky, Martina;Declerck, Thierry;Feigl, Roland;Gruber, Christine;Wandl-Vogt, Eveline;Reinert, Matthias";9;Großgruppe;;Großgruppe_WAHR;WAHR;3;6;Großgruppe_INTER;Vernetzung von historisch-biographischen Lexika und Fachportalen im Linked (Open) Data Framework;
14013;13;DHd 2014;Passau;[{'affiliation': 'Technische Universität Dortmund, Institut für deutsche Sprache und Literatur, Deutschland', 'name': 'Bartz, Thomas'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften (BBAW), Zentrum Sprache, Deutschland', 'name': 'Geyken, Alexander'}, {'affiliation': 'Technische Universität Dortmund, Fakultät Informatik, Deutschland', 'name': 'Pölitz, Christian'}, {'affiliation': 'Technische Universität Dortmund, Institut für deutsche Sprache und Literatur, Deutschland', 'name': 'Storrer, Angelika'}];"Bartz, Thomas;Geyken, Alexander;Pölitz, Christian;Storrer, Angelika";4;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;3;Kleingruppe_INTER;Disambiguierung in Suchtrefferlisten aus großen Textkorpora: Anwendungsfelder und Perspektiven;
14014;14;DHd 2014;Passau;[{'affiliation': 'Ruhr-Universität Bochum, Germany', 'name': 'Elwert, Frederik'}, {'affiliation': 'Ruhr-Universität Bochum, Germany', 'name': 'Hofmann, Beate'}];"Elwert, Frederik;Hofmann, Beate";2;Duo;;Duo_WAHR;WAHR;1;1;Duo_NICHT;Ordnung – Kraft – Magie. Netzwerkanalyse als Instrument ägyptologischer Bedeutungsanalyse;
14015;15;DHd 2014;Passau;[{'affiliation': 'Universitaet Tuebingen, Germany', 'name': 'Enke, Dankmar'}, {'affiliation': 'Universitaet Potsdam Germany', 'name': 'Kuhn, Florian'}, {'affiliation': 'Bundesministerium der Justiz, Berlin, Germany', 'name': 'Baumann, Antje'}];"Enke, Dankmar;Kuhn, Florian;Baumann, Antje";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;Kommentiertes Digitales Korpus Deutscher Rechts- und Gesetzestexte;
14016;16;DHd 2014;Passau;[{'affiliation': 'Universität Bergen, Norway', 'name': 'Erbacher, Christian'}];Erbacher, Christian;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Editionspraxis und technologische Entwicklung: Erfahrungen und Schlussfolgerungen aus der elektronischen Edierung von Wittgensteins Nachlass;
14017;17;DHd 2014;Passau;[{'affiliation': 'Universität Duisburg-Essen, Germany', 'name': 'Ernst, Thomas'}];Ernst, Thomas;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Jenseits des wissenschaftlichen Werks und des geistigen Eigentums? Die digitale Verbreitung wissenschaftlichen Wissens;
14018;18;DHd 2014;Passau;[{'affiliation': 'MPI für Wissenschaftsgeschichte und Berlin-Brandenburgische Akademie der Wissenschaften, Germany', 'name': 'Fechner, Martin'}];Fechner, Martin;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Daten-Adaptation als Analysemethode für geisteswissenschaftliche Forschung. Ergebnisse einer Untersuchung zur wissenschaftlichen Kommunikation in der modernen Physik;
14019;19;DHd 2014;Passau;[{'affiliation': 'Institut für Nachrichtentechnik, TU Braunschweig, Germany', 'name': 'Fecker, Daniel'}, {'affiliation': 'Institut für Nachrichtentechnik, TU Braunschweig, Germany', 'name': 'Pantke, Werner'}, {'affiliation': 'Institut für Nachrichtentechnik, TU Braunschweig, Germany', 'name': 'Slimane, Fouad'}, {'affiliation': 'Herzog August Bibliothek Wolfenbüttel, Germany', 'name': 'Lesser, Bertram'}, {'affiliation': 'Herzog August Bibliothek Wolfenbüttel, Germany', 'name': 'Schaßan, Torsten'}];"Fecker, Daniel;Pantke, Werner;Slimane, Fouad;Lesser, Bertram;Schaßan, Torsten";5;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;5;Kleingruppe_INTER;Vom Zeichen zur Schrift. Mit Mustererkennung zur automatisierten Schreiberhanderkennung in mittelalterlichen und frühneuzeitlichen Handschriften;
14020;20;DHd 2014;Passau;[{'affiliation': 'Institut für Deutsche Sprache, Mannheim', 'name': 'Fischer, Peter M.'}, {'affiliation': 'Thüringer Buchlöwe - Schreibwettbewerb der Literarischen Gesellschaft Thüringen', 'name': 'Kirsten, Jens'}, {'affiliation': 'Institut für Deutsche Sprache, Mannheim', 'name': 'Witt, Andreas'}];"Fischer, Peter M.;Kirsten, Jens;Witt, Andreas";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Aufbau eines Korpus zur Beobachtung des Schreibgebrauchs im Deutschen;
14021;21;DHd 2014;Passau;[{'affiliation': 'Max Weber Stiftung, de.hypotheses.org', 'name': 'Foerster, Sascha'}];Foerster, Sascha;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Wissenschaftliches Bloggen bei de.hypotheses.org;
14022;22;DHd 2014;Passau;[{'affiliation': 'Max Planck Institut für Evolutionäre Anthropologie, Germany', 'name': 'Forkel, Robert'}];Forkel, Robert;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;CLLD - Datenpublikationen in der Linguistik;
14023;23;DHd 2014;Passau;[{'affiliation': 'Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Germany', 'name': 'Friese, Susanne'}];Friese, Susanne;1;Single;;Single_WAHR;WAHR;1;0;Single_NICHT;Was bringt die Anwendung von QDA-Software für die Analyse qualitativer Daten;
14024;24;DHd 2014;Passau;[{'affiliation': 'Institut für Architektur von Anwendungssystemen (IAAS), Universität Stuttgart, Deutschland', 'name': 'Barzen, Johanna'}, {'affiliation': 'Institut für Architektur von Anwendungssystemen (IAAS), Universität Stuttgart, Deutschland', 'name': 'Leymann, Frank'}];"Barzen, Johanna;Leymann, Frank";2;Duo;;Duo_WAHR;WAHR;1;1;Duo_NICHT;Kostümsprache als Mustersprache: Vom analytischen Wert Formaler Sprachen und Muster in den Filmwissenschaften;
14025;25;DHd 2014;Passau;[{'affiliation': 'pagina GmbH, Germany', 'name': 'Gasperlin, Oliver'}];Gasperlin, Oliver;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Die Öffnung bibliothekarischer Daten - Eine Spielwiese;
14026;26;DHd 2014;Passau;[{'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Germany', 'name': 'Gießler, André'}, {'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Germany', 'name': 'Pöckelmann, Marcus'}, {'affiliation': 'Martin-Luther-Universität Halle-Wittenberg, Germany', 'name': 'Ritter, Jörg'}];"Gießler, André;Pöckelmann, Marcus;Ritter, Jörg";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Semi-automatische Differenzanalyse von komplexen Textvarianten;
14027;27;DHd 2014;Passau;[{'affiliation': 'University of Hamburg, Germany', 'name': 'Gius, Evelyn'}, {'affiliation': 'University of Hamburg, Germany', 'name': 'Jacke, Janina'}, {'affiliation': 'University of Hamburg, Germany', 'name': 'Meister, Jan Christoph'}];"Gius, Evelyn;Jacke, Janina;Meister, Jan Christoph";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;2;1;Kleingruppe_INTER;Informatik und Hermeneutik. Erste Erkenntnisse aus dem heureCLÉAProjekt;
14028;28;DHd 2014;Passau;[{'affiliation': 'Universität Erlangen-Nürnberg, Germany', 'name': 'Görz, Günther'}];Görz, Günther;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Künstliche Intelligenz und Geisteswissenschaften;
14029;29;DHd 2014;Passau;[{'affiliation': 'Ludwig Maximilians Universität München, Germany', 'name': 'Hadersbeck, Maximilian'}, {'affiliation': 'Ludwig Maximilians Universität München, Germany', 'name': 'Fink, Florian'}, {'affiliation': 'Wittgenstein-Archiv an der Universität Bergen, Norway', 'name': 'Pichler, Alois'}, {'affiliation': 'Wittgenstein-Archiv an der Universität Bergen, Norway', 'name': 'Gjesdal, Øyvind Liland'}];"Hadersbeck, Maximilian;Fink, Florian;Pichler, Alois;Gjesdal, Øyvind Liland";4;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;4;Kleingruppe_INTER;Wittgensteins Nachlass: Computerlinguistik und Philosophie: Der Finder wiTTFind und die Wittgenstein Advanced Search Tools (WAST);
14030;30;DHd 2014;Passau;[{'affiliation': 'National Research University - Higher School of Economics, Russian Federation', 'name': 'Heßbrüggen-Walter, Stefan'}];Heßbrüggen-Walter, Stefan;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Using Ontologies as Heuristic Tools: Sources in the History of Philosophy and Their Interpretation in the Semantic Web;
14031;31;DHd 2014;Passau;[{'affiliation': 'Universitätsbibliothek Frankfurt am Main, Germany', 'name': 'Heuberger, Rachel'}];Heuberger, Rachel;1;Single;;Single_WAHR;WAHR;1;0;Single_NICHT;Der Weg des Texts zum Nutzer - Historische Quellen der Jüdischen Studien im semantischen Web;
14032;32;DHd 2014;Passau;[{'affiliation': 'Universität Leipzig, Germany', 'name': 'Heyer, Gerhard'}, {'affiliation': 'Universität Leipzig, Germany', 'name': 'Niekler, Andreas'}, {'affiliation': 'Universität Leipzig, Germany', 'name': 'Wiedemann, Gregor'}];"Heyer, Gerhard;Niekler, Andreas;Wiedemann, Gregor";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Brauchen die Digital Humanities eine eigene Methodologie? Überlegungen zur systematischen Nutzung von Text Mining Verfahren in einem politikwissenschaftlichen Projekt;
14033;33;DHd 2014;Passau;[{'affiliation': 'LMU München, Germany', 'name': 'Hoppe, Stephan'}, {'affiliation': 'Computer Vision Group, Heidelberg Collaboratory for Image Processing (HCI), Universität Heidelberg, (AKDK)', 'name': 'Bell, Peter'}, {'affiliation': 'Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte', 'name': 'Raspe, Martin'}, {'affiliation': 'Deutsches Museum, München', 'name': 'Hohmann, Georg'}];"Hoppe, Stephan;Bell, Peter;Raspe, Martin;Hohmann, Georg";4;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;4;Kleingruppe_INTER;Bedrohte Besitzstände, verlorene Werte? Die Geisteswissenschaft von der Kunst und die neuen digitalen Verfahren;
14034;34;DHd 2014;Passau;[{'affiliation': 'Universität Passau, Deutschland', 'name': 'Howanitz, Gernot'}, {'affiliation': 'Universität Salzburg, Österreich', 'name': 'Mayer, Helmut'}];"Howanitz, Gernot;Mayer, Helmut";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_INTER;LitSOM. Kartierung russischer Gegenwartsliteratur;
14035;35;DHd 2014;Passau;[{'affiliation': 'Österreichische Akademie der Wissenschaften, Österreich', 'name': 'Biber, Hanno'}];Biber, Hanno;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;AAC-FACKEL. Das Beispiel einer digitalen Musteredition.;
14036;36;DHd 2014;Passau;[{'affiliation': 'Zentrum Technik und Gesellschaft / TU Berlin, Germany', 'name': 'Kaden, Ben'}];Kaden, Ben;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Ein Integriertes Monitoring in digitalen Forschungsräumen als Vermittlungsakteur in heterogenen Akteurskonstellationen. Das Beispiel TextGrid.;
14037;37;DHd 2014;Passau;[{'affiliation': 'Universität Stuttgart, Institut für Sozialwissenschaften', 'name': 'Kantner, Cathleen'}, {'affiliation': 'Universität Hildesheim, Institut für Informationswissenschaft und Sprachtechnologie', 'name': 'Kliche, Fritz'}, {'affiliation': 'Universität Stuttgart, Institut für Maschinelle Sprachverarbeitung', 'name': 'Kuhn, Jonas'}];"Kantner, Cathleen;Kliche, Fritz;Kuhn, Jonas";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;eIdentity - Werkzeuge zur Erschließung und Exploration von Textdaten;
14038;38;DHd 2014;Passau;[{'affiliation': 'Musikwissenschaftliches Seminar Detmold / Paderborn, Germany', 'name': 'Kepper, Johannes'}];Kepper, Johannes;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Quo Vadis Musikphilologie? Digitale Ausgaben im Gespräch;
14039;39;DHd 2014;Passau;[{'affiliation': 'Center for Digital Humanities / Uni-Trier, Germany', 'name': 'Wortmann, Sven'}, {'affiliation': 'Ruhr-Universität Bochum', 'name': 'Knauth, Jürgen'}];"Wortmann, Sven;Knauth, Jürgen";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_INTER;Semantisch-Soziale Netzwerkanalyse am Beispiel buddhistischer Texte in der Pali-Sprache: Zwischenstand zur Korpus-Aufbereitung;
14040;40;DHd 2014;Passau;[{'affiliation': 'Steinheim-Institut für deutsch-jüdische Geschichte, Germany', 'name': 'Kollatz, Thomas'}, {'affiliation': 'Institut für Kultur und Ästhetik digitaler Medien, Leuphana Universität Lüneburg', 'name': 'Warnke, Martin'}, {'affiliation': 'DAASI International GmbH, Tübingen', 'name': 'Gietz, Peter'}];"Kollatz, Thomas;Warnke, Martin;Gietz, Peter";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Relationen im Raum - Visualisierung topographischer Klein(st)strukturen;
14041;41;DHd 2014;Passau;[{'affiliation': 'Steinheim-Institut für deutsch-jüdische Geschichte, Germany', 'name': 'Kollatz, Thomas'}, {'affiliation': 'Institut für Kultur und Ästhetik digitaler Medien, Leuphana Universität Lüneburg', 'name': 'Warnke, Martin'}, {'affiliation': 'DAASI International GmbH, Tübingen', 'name': 'Gietz, Peter'}];"Kollatz, Thomas;Warnke, Martin;Gietz, Peter";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Relationen im Raum - Visualisierung topographischer Klein(st)strukturen;
14042;42;DHd 2014;Passau;[{'affiliation': 'Institut für Deutsche Sprache, Germany', 'name': 'Koplenig, Alexander'}];Koplenig, Alexander;1;Single;;Single_FALSCH;FALSCH;0;1;Single_NICHT;Prinzipielle Probleme der Anwendung statistischer Signifikanztests in der Korpuslinguistik;
14043;43;DHd 2014;Passau;[{'affiliation': 'LMU München, Germany', 'name': 'Krey, Angela'}];Krey, Angela;1;Single;;Single_WAHR;WAHR;1;0;Single_NICHT;Wittgensteins Nachlass: 'Semantische Annotation von Adjektiven im Big Typescript';
14044;44;DHd 2014;Passau;[{'affiliation': 'Cologne Center for eHumanities (CCeH), Germany', 'name': 'Kronenwett, Simone'}];Kronenwett, Simone;1;Single;;Single_WAHR;WAHR;1;0;Single_NICHT;Digitale Infrastrukturen für die Geisteswissenschaften;
14045;45;DHd 2014;Passau;[{'affiliation': 'Technische Universität Dresden, Germany', 'name': 'Kröber, Cindy'}, {'affiliation': 'Technische Universität Dresden, Germany', 'name': 'Münster, Sander'}, {'affiliation': 'Technische Universität Dresden, Germany', 'name': 'Prechtel, Nikolas'}, {'affiliation': 'Technische Universität Dresden, Germany', 'name': 'Schietzold, Sebastian'}, {'affiliation': 'Technische Universität Dresden, Germany', 'name': 'Schubert, Christian'}];"Kröber, Cindy;Münster, Sander;Prechtel, Nikolas;Schietzold, Sebastian;Schubert, Christian";5;Kleingruppe;;Kleingruppe_WAHR;WAHR;1;4;Kleingruppe_NICHT;GEPAM – Eine interaktive Informationsplattform zur 'Landschaft des Gedenkens';
14046;46;DHd 2014;Passau;[{'affiliation': 'Trier Center for Digital Humanities, Germany', 'name': 'Biehl, Theresia'}, {'affiliation': 'DLA Marbach, Germany', 'name': 'Lorenz, Anne'}, {'affiliation': 'MLU Halle-Wittenberg, Germany', 'name': 'Osierenski, Dirk'}];"Biehl, Theresia;Lorenz, Anne;Osierenski, Dirk";3;Kleingruppe;;Kleingruppe_WAHR;WAHR;2;1;Kleingruppe_INTER;Vernetzte Korrespondenzen: Erforschung und Visualisierung sozialer, zeitlicher, räumlicher und thematischer Netze in Briefkorpora;
14047;47;DHd 2014;Passau;[{'affiliation': 'Akademie der Wisschenschaften zu Göttingen, Germany', 'name': 'Kröger, Bärbel'}, {'affiliation': 'Akademie der Wisschenschaften zu Göttingen, Germany', 'name': 'Popp, Christian'}];"Kröger, Bärbel;Popp, Christian";2;Duo;;Duo_WAHR;WAHR;1;1;Duo_NICHT;Klöster und Stifte des Alten Reiches im Netz;
14048;48;DHd 2014;Passau;[{'affiliation': 'Herder-Institut Marburg, Germany', 'name': 'Kuroczyński, Piotr'}, {'affiliation': 'Technische Universität Darmstadt, Germany', 'name': 'Pfarr-Harfst, Mieke'}, {'affiliation': 'Hochschule für Technik und Wirtschaft Dresden, Germany', 'name': 'Wacker, Markus'}, {'affiliation': 'Technische Universität Dresden, Germany', 'name': 'Münster, Sander'}, {'affiliation': 'Brandenburgische Technische Universität Cottbus, Germany', 'name': 'Henze, Frank'}, {'affiliation': 'Brandenburgische Technische Universität Cottbus, Germany', 'name': 'Burwitz, Henning'}];"Kuroczyński, Piotr;Pfarr-Harfst, Mieke;Wacker, Markus;Münster, Sander;Henze, Frank;Burwitz, Henning";6;Großgruppe;;Großgruppe_WAHR;WAHR;1;5;Großgruppe_INTER;Pecha Kucha 'Virtuelle Rekonstruktion – Allgemeine Standards, Methodik und Dokumentation';
14049;49;DHd 2014;Passau;[{'affiliation': 'Bildarchiv Foto Marburg, Germany', 'name': 'Bracht, Christian'}, {'affiliation': 'Bildarchiv Foto Marburg, Germany', 'name': 'Köhler, Werner'}];"Bracht, Christian;Köhler, Werner";2;Duo;;Duo_FALSCH;FALSCH;0;2;Duo_NICHT;Standardbildung und Linked Open Data. Forschungsinfrastrukturen für Gedächtnisorganisationen;
14050;50;DHd 2014;Passau;[{'affiliation': 'Zentrum für Technologietransfer und Telekommunikation, FH Worms', 'name': 'Küster, Marc W.'}, {'affiliation': 'Zentrum für Technologietransfer und Telekommunikation, FH Worms', 'name': 'Georgieff, Lukas'}, {'affiliation': 'Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften, Universität Trier', 'name': 'Sievers, Martin'}];"Küster, Marc W.;Georgieff, Lukas;Sievers, Martin";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;XML-Print – ein Werkzeug zum Satz beliebiger XML-Dokumente;
14051;51;DHd 2014;Passau;[{'affiliation': 'Akademie der Wissenschaften und der Literatur Mainz, Germany', 'name': 'Lange, Felix'}, {'affiliation': 'i3mainz Fachhochschule Mainz, Germany', 'name': 'Unold, Martin'}, {'affiliation': 'Akademie der Wissenschaften und der Literatur Mainz, Germany', 'name': 'Schwartz, Frithjof'}];"Lange, Felix;Unold, Martin;Schwartz, Frithjof";3;Kleingruppe;;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;GenericViewer - Semantische Annotation und 3D-Informationen in den Spatial Humanities;
