uid;abstract_id;conference_acronym;conference_place;creators_json;creator_names;creators_amount;creators_group_type;creators_group_publication;groups_with_female;creators_with_female_YN;creators_with_female_amount;creators_with_male_amount;creators_group_interdisciplinary;title;format_type
20005;5;DHd 2020;Paderborn;[{'affiliation': 'Leibniz-Institut für Europäische Geschichte (IEG), Deutschland', 'name': 'Wübbena, Thorsten'}, {'affiliation': 'Max Weber Stiftung (MWS), Deutschland', 'name': 'Neumann, Katrin'}, {'affiliation': 'Leibniz-Institut für Europäische Geschichte (IEG), Deutschland Max Weber Stiftung (MWS), Deutschland', 'name': 'Cremer, Fabian'}];"Wübbena, Thorsten;Neumann, Katrin;Cremer, Fabian";3;Kleingruppe;Kleingruppe_Poster;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;Intermediation der Forschungsinfrastruktur. Ein Rollenmodell für den Umgang mit einer komplexen Infrastrukturlandschaft;Poster
20006;6;DHd 2020;Paderborn;[{'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Nicka, Isabella'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Hinkelmanns, Peter'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Landkammer, Miriam'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Schwembacher, Manuel'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Zeppezauer-Wachauer, Katharina'}];"Nicka, Isabella;Hinkelmanns, Peter;Landkammer, Miriam;Schwembacher, Manuel;Zeppezauer-Wachauer, Katharina";5;Kleingruppe;Kleingruppe_Vortrag;Kleingruppe_WAHR;WAHR;3;2;Kleingruppe_NICHT;Erzählerische Spielräume. Medienübergreifende Erforschung von Narrativen im Mittelalter mit ONAMA;Vortrag
20007;7;DHd 2020;Paderborn;[{'affiliation': 'HTWK Leipzig, Deutschland', 'name': 'Dogunke, Swantje'}];Dogunke, Swantje;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;Partizipatives Design in Digital Humanities Projekten: Checklist, Maßnahmenkatalog und Use-Case;Vortrag
20008;8;DHd 2020;Paderborn;[{'affiliation': 'Julius-Maximilians-Universität Würzburg, Deutschland', 'name': 'Weimer, Lukas'}];Weimer, Lukas;1;Single;Single_Poster;Single_FALSCH;FALSCH;0;1;Single_NICHT;Stilometrische Untersuchung von Figurenreden in realistischen Erzähltexten;Poster
20009;9;DHd 2020;Paderborn;[{'affiliation': 'Freie Universität Berlin, Deutschland', 'name': 'Meyer-Sickendiek, Burkhard'}, {'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Baumann, Timo'}, {'affiliation': 'Freie Universität Berlin, Deutschland', 'name': 'Hussein, Hussein'}];"Meyer-Sickendiek, Burkhard;Baumann, Timo;Hussein, Hussein";3;Kleingruppe;Kleingruppe_Poster;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Requirements on the Punctuation Reconstruction for the Translation of Post-modern Poetry;Poster
20010;10;DHd 2020;Paderborn;[{'affiliation': 'Universitätsbibliothek Erlangen-Nürnberg', 'name': 'Scholz, Martin'}, {'affiliation': 'IZdigital, Friedrich-Alexander-Universität Erlangen-Nürnberg', 'name': 'Klusik-Eckert, Jacqueline'}];"Scholz, Martin;Klusik-Eckert, Jacqueline";2;Duo;Duo_Poster;Duo_WAHR;WAHR;1;1;Duo_INTER;Aufbau und Erfahrungen aus dem Digital Humanities Lab der Universität Erlangen-Nürnberg;Poster
20011;11;DHd 2020;Paderborn;[{'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Kremer, Gerhard'}, {'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Jung, Kerstin'}];"Kremer, Gerhard;Jung, Kerstin";2;Duo;Duo_Workshop;Duo_WAHR;WAHR;1;1;Duo_NICHT;Maschinelles Lernen lernen: Ein CRETA-Hackatorial zur reflektierten automatischen Textanalyse;Workshop
20012;12;DHd 2020;Paderborn;[{'affiliation': 'Universität Bern, Schweiz', 'name': 'Hodel, Tobias'}];Hodel, Tobias;1;Single;Single_Vortrag;Single_FALSCH;FALSCH;0;1;Single_NICHT;Best-practices zur Erkennung alter Drucke und Handschriften. Die Nutzung von Transkribus large- und small-scale;Vortrag
20013;13;DHd 2020;Paderborn;[{'affiliation': 'Universität Passau, Deutschland', 'name': 'Howanitz, Gernot'}, {'affiliation': 'Sächsische Akademie der Wissenschaften zu Leipzig', 'name': 'Radisch, Erik'}];"Howanitz, Gernot;Radisch, Erik";2;Duo;Duo_Workshop;Duo_FALSCH;FALSCH;0;2;Duo_INTER;Deep Learning für visuelle Medien: Annotation, Training, Analyse;Workshop
20014;14;DHd 2020;Paderborn;[{'affiliation': 'Berlin', 'name': 'Roeder, Torsten'}, {'affiliation': 'Leipzig', 'name': 'Rettinghaus, Klaus'}];"Roeder, Torsten;Rettinghaus, Klaus";2;Duo;Duo_Vortrag;Duo_FALSCH;FALSCH;0;2;Duo_INTER;Game On! Digitale Archäologie und Edition zu(m) Spielen;Vortrag
20015;15;DHd 2020;Paderborn;[{'affiliation': 'Deutsche Nationalbibliothek, Deutschland', 'name': 'Landes, Lisa'}, {'affiliation': 'Deutsche Nationalbibliothek, Deutschland', 'name': 'Dinger, Patrick'}];"Landes, Lisa;Dinger, Patrick";2;Duo;Duo_Vortrag;Duo_WAHR;WAHR;1;1;Duo_NICHT;Geschichte aus erster Hand – Der Aufbau eines nationalen Zeitungsportals unter Berücksichtigung der Bedürfnisse verschiedener Nutzergruppen;Vortrag
20016;16;DHd 2020;Paderborn;[{'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Franken, Lina'}];Franken, Lina;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;Anwendungen von DH-Methoden in der Erschließung und Digitalisierung von Kulturerbe. Ein Vorschlag zur Systematisierung;Vortrag
