type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
DoctoralConsortium,3.997169272402611e-05,0.0025534184787452583,0.010814501562583638,0.0009206800347211873,0.017596322805710992,0.024430692051225913,0.016832112283002014,5.423386217958681e-05,0.003050406743683606,0.0022720172891920348,0.0023820046675825683,0.00513784329342383,0.014862954456466428,0.0021298831662715932,0.026004757375287495,0.037701245484947736,0.0049946870086223245,0.058991910257511125,0.0001382145459782955,0.006248954470426002,0.008850755220116156,0.0986585623762918,0.05841646531337948,0.03572653812541641,0.024556984431286042,0.04943378722301381,0.0375896157910984,0.0028111161185150266,0.049181490264777715,0.010973951915180403,0.0008123888254905804,0.021187335546828563,0.014164817480606606,0.0060826049502170475,0.0033521125420507107,0.0003072709776479361,2.6226098061615593e-05,0.33212304020195893,0.0023187860707353457,0.0062693389970410905
Panel,0.02209202288732656,0.0037048515800196156,0.010275692879277763,0.016130951346905488,0.007904736925534074,0.006507005367811061,0.006913262171032155,0.010111288945944921,0.01686364305885516,0.0016411751168160355,0.016860537169377375,0.044471394931135784,0.002005851682299993,0.005315431263185811,0.007493242664348584,0.23999384816628094,0.001417419466644911,0.02191814079669781,0.02447118315946552,0.013207227759920752,0.011487667344690072,0.024504614842719256,0.10986454724047127,0.010132719125757693,0.0017077133778896194,0.003025479747865001,0.007015784179372792,0.015970682451751612,0.0024257123708225775,0.02907112350888956,0.003965139739505195,0.00602252743239629,0.0027624955650135397,0.004584003500420335,0.0026865102964012946,0.005345841342773509,0.00024036894242718282,0.2609402591986259,0.009551884712930395,0.009396017740396155
Poster,0.008318915599726681,0.00821355186944209,0.009491125525766513,0.021597347599728426,0.012449442378008171,0.014328402377370673,0.00792338051885776,0.00990211837520131,0.008942257415776922,0.006902587543393591,0.015896057970318376,0.015953990703804384,0.00665100457136818,0.006731070305319447,0.012778074309900647,0.08752872351780493,0.007409805135202434,0.0895915262312605,0.01749028196560294,0.010640121328394979,0.01975460721243173,0.03266371656234631,0.21135566704368147,0.02961562772968326,0.01159584134402153,0.01791588943442359,0.013205350973428134,0.006553115214902862,0.008848331341431332,0.022717685847350386,0.007678258241879644,0.0026553000008058183,0.008465577526744782,0.007455974210054636,0.011293956928684247,0.0037026502646961843,0.005344323437026216,0.1768262457937542,0.014046285889890294,0.009565809760513685
Sektion,7.3863491446623165e-06,0.00010123778026783746,0.0005837695229145804,0.00598274234864698,0.0060898714867810375,0.0019943105946720594,1.1493137556238665e-05,1.0021848318701272e-05,0.06612051846769947,8.53509429662303e-06,0.029952075027934583,0.0016957816610335716,0.0027086533266811133,8.497620222139879e-06,0.0002589604726305495,0.03249381319708092,0.10661114503018912,0.138452648931023,0.0012668127209037579,0.00671526090866031,0.00844844262355406,0.00035481957066322374,0.09079852044885188,0.03513389403772536,0.0051820244474507695,0.0013535921701567865,0.036673981065980674,6.994603624060635e-06,0.08859950046902061,0.006436290446701255,0.007782963767127639,0.05896386318958126,5.879945108056841e-06,0.0022937317396181803,0.00026440294779693475,7.343997218049432e-06,4.8463075687762015e-06,0.2565945348398302,9.923419421377206e-06,1.0914436343116955e-05
Vortrag,0.011902652812266037,0.0077196374055548,0.010312452096290382,0.014509837641049801,0.018060001144604883,0.009442877184657594,0.010274928592682192,0.00655433233909433,0.011181011985859655,0.011210444972174619,0.01661420426831002,0.007859033917053023,0.013376061424173693,0.006324848529823951,0.008680604671787868,0.044308149042646225,0.011494690912003738,0.12347920619115828,0.005014283148921929,0.019733293313109534,0.006504885010717519,0.02957984114044971,0.11526592501555334,0.020906909626666113,0.016273267941119298,0.038650384215744266,0.019792659164347342,0.010367696486556756,0.007190294291792826,0.016744743004580162,0.010839376961517799,0.018239957069993703,0.006563086812581219,0.019259209389933436,0.012579453360986299,0.01332141225382934,0.011515827772483873,0.23651149674028066,0.009787988312385192,0.012053033835258183
Workshop,0.005169127892091552,0.00031681137892892314,0.0015638048446843735,0.007534663413206306,0.07968749320213474,0.008470329979615939,0.03936284298822841,0.016369216001108335,0.010484979861234141,0.010265557484059605,0.011167731942041252,0.15662520919953715,0.0012194980635722716,0.016345355675146295,0.008701116448609332,0.11737936352435581,0.0007449725881067153,0.023495466374827113,0.0143705889269612,0.015559382796741697,0.0017133056904452733,0.027978528131891667,0.16345532381268768,0.021307931701358803,0.004158408287777329,0.007149392231697109,0.0020009135850006087,0.0016818856429556379,0.004249959338423727,0.02651579339878102,0.02867178801162079,0.004377471372560805,0.0021452135762278163,0.0023758210652862683,0.004093367189032551,0.002493540655252209,6.210319494288444e-05,0.1374818371587222,0.00752880327424665,0.005725100095897411
unbekannt,0.012322012424166225,0.0016540286394505126,0.011871557958838557,0.03646239090211155,0.0059290997857714585,0.005042345262894709,0.0018039464455294602,0.019488468200633477,0.01868920889634577,0.002168505803228903,0.010235436709039472,0.02764712643106474,0.002317934358371659,0.02391981954280303,0.008310713209285555,0.08919310411519926,0.00605326323720031,0.046451707108069236,0.013564531333828183,0.002885014817436818,0.02794658249790779,0.04947570536441577,0.1473716419547706,0.010392810426685354,0.017717948555923655,0.022515840384083954,0.0075592011554297565,0.0075487110691073575,0.03080627255817685,0.021582624521495265,0.005671437323021858,0.009315965657311595,0.0045939763404319635,0.0002072211970190309,0.04684074344336058,0.015338055369738162,0.0030557131144804393,0.2027457706307845,0.022232072373925275,0.0010714908806607893
