,segmentID,idno,filename,type,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,dh0009,dh0009,108_final-HODEL_Tobias_Automatic_Text_and_Feature_Recognition__Mit_REA.xml,Workshop,2019,2.165318512730125e-05,1.920592075813577e-05,1.1767302989435088e-05,1.4730468295878991e-05,0.020741907330567,0.1793795812967309,1.238675412563524e-05,1.557065863466134e-05,1.9710309579035587e-05,3.211671912595077e-05,1.9047642015157345e-05,0.0001578792112011592,5.985679784675827e-05,2.025080834444969e-05,0.00010000456992198808,2.5711545609264232e-05,1.4142585261304412e-05,0.00030949876888866835,3.267595978891877e-05,1.89769901670451e-05,3.859948161612098e-05,0.00010566416717849531,5.219155755768173e-05,6.315924400481476e-05,5.147059861945906e-05,0.0160038209428965,3.7858940767751247e-05,2.357639750873345e-05,1.7652360174095816e-05,5.35566493183761e-05,1.938951268335316e-05,5.227171988831157e-05,1.3138539227531664e-05,0.59568408208851,0.0030549338055412,4.257236881683141e-05,0.0113529552448471,2.363605718077138e-05,2.6716931743635225e-05,6.569197753358107e-06,3.704804207712011e-05,0.1718728571313333,1.315220914737295e-05,1.9518145227693564e-05,9.804863726889632e-05,2.410545171327972e-05,2.7080539369717165e-05,2.238474591353053e-05,1.600281474149649e-05,0.0001193116523947711
1,dh0935,dh0935,posters-068.xml,Poster,2016,5.843440791565442e-05,5.183009341944869e-05,3.1755853880581066e-05,3.975240539114578e-05,0.0559751864114839,0.3206780503944714,3.3427536829936004e-05,4.201978659601515e-05,5.319126323974427e-05,8.667184320851061e-05,5.140295419825776e-05,0.0384272207865655,0.00016153265772859878,5.464988122829568e-05,0.0002698775167669464,6.93865099033103e-05,3.816591375737176e-05,0.0920380128526663,8.818103905340689e-05,5.1212289458252354e-05,0.0039042825383939,0.0002851507993247204,0.00014084684290781942,0.00017044481013411467,0.00013890122574162142,0.0355885089042446,0.0001021681002157996,6.362448855018198e-05,4.76375742886252e-05,0.00014453075030147755,5.232554410650012e-05,0.0115414111018912,3.545634307949504e-05,9.48870567535732e-05,0.0082442027396348,0.0267156998352783,0.00023674576664206115,6.37854892339836e-05,7.209969704613413e-05,1.772797761352589e-05,9.997976697115072e-05,0.0002108532786736877,3.549323343384632e-05,5.267267855914646e-05,0.0040647151117651,6.505222165347356e-05,0.3990852584541163,6.0408635778497565e-05,4.3186025469491855e-05,0.00032198061043390555
2,dh0904,dh0904,posters-034.xml,Poster,2016,5.713176394220433e-05,5.067467555445287e-05,3.104793926049952e-05,3.886622833964445e-05,0.0250041466583179,0.1166130450791349,3.268235636260501e-05,4.1083064145537575e-05,5.200550161451374e-05,8.473971865637442e-05,5.025705829732654e-05,0.0004165630955767961,0.00015793170495760023,5.343160348798625e-05,0.0002638612956170105,6.78397171456127e-05,3.731510343310153e-05,0.0008166101430618527,8.621527088371323e-05,5.007064393451116e-05,0.00010184443808237704,0.0002787940998472313,0.0001377070268706967,0.0001666451839781086,0.0001358047822065329,0.5846746837500717,9.989052669752147e-05,6.220614515405534e-05,4.657561779295179e-05,0.00014130881107809746,5.115908145000816e-05,0.00013791853456915655,3.466593562469973e-05,9.277179526556648e-05,0.008060419564657,0.0001123268706845816,0.0002314681321599723,6.236355674406863e-05,7.049242079923023e-05,1.733277820921172e-05,9.77509766820474e-05,0.00020615285023531052,3.470200360402424e-05,5.1498477437957984e-05,0.0002587005822177428,0.0037790042708828,0.256434204993447,5.906198150153825e-05,4.222330474001519e-05,0.0003148028855846195
3,dh0920,dh0920,posters-051.xml,Poster,2016,2.0228914324247604e-05,1.7942622447944677e-05,1.0993290945479172e-05,1.3761549599355442e-05,0.318002902191659,0.0294499627380133,1.1571996751972802e-05,1.4546475155543447e-05,0.0013339439004025,0.0145008349203778,1.7794754727226617e-05,0.0001474944687440583,0.0053180398912522,1.89187809824858e-05,9.342661899816589e-05,2.402033004456263e-05,1.3212335455146532e-05,0.2134050117248981,3.0526649411923324e-05,1.7728750110635112e-05,3.60605426860912e-05,9.871394773703494e-05,4.875857939958271e-05,5.900484978289596e-05,4.8085042619341614e-05,0.0083734952314466,3.536871202528051e-05,2.202562452011952e-05,0.3670493796822531,5.003388019757041e-05,1.811413833828654e-05,4.883346893240707e-05,1.227433205863094e-05,3.284814906174199e-05,0.000222930809856184,3.977210725872032e-05,0.0079751374145484,0.0039686715581876,2.495958539454504e-05,6.1370988956340905e-06,3.461115141505234e-05,7.299351634457242e-05,1.2287102818944628e-05,1.8234309883649216e-05,9.159934075569132e-05,2.2519879389032807e-05,2.5299276182408885e-05,2.091235560000489e-05,1.49502055447898e-05,0.029053125202564
4,dh0777,dh0777,MOELLER_Katrin_Die_Summe_geisteswissenschaftlicher_Methoden_.xml,Panel,2018,1.7007143486629355e-05,1.5084979332422073e-05,9.24243750817218e-06,1.1569807696207631e-05,0.1545428123319773,0.0037453803723718,9.728975368277968e-06,1.222972158710836e-05,1.5481143360931633e-05,2.5225556761445175e-05,1.4960661857792282e-05,0.0012300150066956,0.0111071269304972,1.5905669360395498e-05,7.85469694173297e-05,2.019471698361969e-05,1.110806449013497e-05,0.0146212381860516,2.566480328073265e-05,1.4905169508219864e-05,0.0022423400131977,0.0011890035462276,4.099301340452715e-05,4.960740505296726e-05,4.042674788570234e-05,0.5312892593464627,2.973569172865592e-05,1.8517699496471968e-05,0.0066499327873072,4.20652026141078e-05,1.5229178635979584e-05,4.105597560852758e-05,1.0319452797990695e-05,2.7616567820132582e-05,0.00018742559338787577,3.343777743444608e-05,0.0199771081627089,1.8564558219415e-05,2.098438123606984e-05,5.159669957402207e-06,2.9098784488284377e-05,6.136815778480693e-05,1.0330189615083642e-05,1.5330210984143876e-05,0.2489295617251234,1.89332365509988e-05,2.1269970955700108e-05,1.7581736055225914e-05,1.2569151600492474e-05,0.003411745418064
5,dh0150,dh0150,157_final-HALL_Mark_Die_Kanonfrage_2_0.xml,Vortrag,2020,1.482621461263003e-05,1.3150541193787738e-05,8.057223845245533e-06,1.0086141277380954e-05,0.2340354766714695,0.087148818452303,8.481370012811488e-06,1.0661430418678663e-05,1.3495902712793236e-05,2.199073104559252e-05,1.3042165700842051e-05,0.2652578259059476,4.098472006235772e-05,1.3865989175675191e-05,0.1080567256364004,0.0424415608626891,9.683610195395363e-06,0.0677045748039113,2.2373650327006636e-05,1.2993789470890997e-05,2.642956197955917e-05,7.234961555276942e-05,0.0029282786747481,0.0202910430512018,0.0173904972418392,0.0774864984255203,2.5922504127201664e-05,0.0029086855062804,1.2086798261868788e-05,0.0019650325561865,1.3276248948486005e-05,0.0289612155534513,8.996126950313529e-06,2.407512829461561e-05,0.00016339087593709195,2.914984899152567e-05,6.006809463926296e-05,0.0058012687994174,1.8293427109838463e-05,4.498014271410488e-06,2.536727135448412e-05,0.0019818601766652,9.0054869204109e-06,1.3364325307568848e-05,6.713516418384556e-05,0.0135150367156073,1.854239393238148e-05,0.000979507938164664,1.095733326846394e-05,0.020329491328114
6,dh0828,dh0828,PIOTROWSKI_Michael_Das_Labeling_System_ein_freier_Baukasten_für_kontrollierte_Vokabulare.txt,Poster,2015,5.755947716068186e-05,5.1054048202540994e-05,3.128037762948874e-05,3.915719781907534e-05,0.1898929013636348,0.4431459692764703,3.2927030688456745e-05,4.139062982140893e-05,5.239483740496096e-05,8.53741170242607e-05,5.063330448110108e-05,0.0004196816679788027,0.2247521542251012,5.383161569694554e-05,0.00026583667596924627,6.834759475622364e-05,3.759446051725072e-05,0.0045659409777966,8.686071587695534e-05,5.044549453933647e-05,0.0001026068898148374,0.0002808812736628138,0.00013873796153130724,0.0076543274347531,0.00013682147583673408,0.0612581681639596,0.00010063835060004324,6.267184739597871e-05,4.692430311288968e-05,0.00014236671026088111,5.154208057118833e-05,0.00013895105266833435,3.492545988711485e-05,9.346632525027194e-05,0.0605258060766028,0.00011316779846392716,0.0002332010032101516,6.283043743757732e-05,7.102015770244947e-05,1.7462538920967775e-05,9.84827829831498e-05,0.0002076962000811452,3.4961797887010334e-05,5.188401742503005e-05,0.0040038546634721,6.40782032380552e-05,7.198671595823813e-05,5.950414516767743e-05,4.253940675260802e-05,0.0003171596368222607
7,dh0932,dh0932,posters-064.xml,Poster,2016,4.7584753089225966e-05,0.0217039828162871,2.5859669327464348e-05,3.2371482191979744e-05,0.2126872712775442,0.1466390381712447,2.722096694689677e-05,3.4217873361863686e-05,0.0062323940123495,7.057927693591307e-05,4.185884602632572e-05,0.065332281682217,0.1146295000986387,0.1423933175360767,0.00021976871945421445,5.650335237824197e-05,3.107955821492451e-05,0.0223419265377603,7.180825681616331e-05,4.170358245988256e-05,8.48257099949414e-05,0.00023220617548906815,0.0001146954762139396,0.00013879791880973342,0.0032076505548191,0.0011298511855075,8.31983072264808e-05,5.181117916790974e-05,3.879259311681353e-05,0.00011769538380235608,4.261013648262147e-05,0.00011487163989090684,2.887307993810725e-05,7.726915233742873e-05,0.0221861793458525,0.0248498720617491,0.0032873280682218,5.194228647367649e-05,5.8712775642399765e-05,1.4436382049572571e-05,8.141628699494416e-05,0.00017170365135253234,2.890312077305014e-05,4.2892817659810473e-05,0.0590117199078547,5.2973821686603655e-05,5.951183494969093e-05,4.919242139196399e-05,3.516757390332462e-05,0.1518946306813255
8,dh0008,dh0008,108_final-HADERSBECK_Maximilian_Spielräume_bei_der_Retroperspektivisch.xml,Vortrag,2020,2.100253954690337e-05,1.862881178385388e-05,1.1413713268649614e-05,1.4287839923306664e-05,0.1416784566174946,0.1111608281611648,1.2014550831757792e-05,1.5102783808626958e-05,1.9118044480830527e-05,3.115166011808073e-05,1.8475289078566184e-05,0.0001531351788382151,5.805819127932732e-05,1.9642302072908715e-05,9.69995833088504e-05,2.4938952412581432e-05,1.3717621887945275e-05,0.2352247799543534,3.16940964419365e-05,0.076505479695061,3.7439625365341846e-05,0.0615653155837008,5.062327990895046e-05,6.126140390732304e-05,4.992398470029207e-05,0.0018645243610787,3.6721336653425165e-05,2.2867962294672508e-05,1.7121933354053273e-05,5.194735271951294e-05,1.880688704840277e-05,0.0014165416216046,1.2743745924328467e-05,3.4104378448272114e-05,0.00023145647241263148,4.1293133293055513e-05,0.0219385407543175,2.292582928347648e-05,2.591412820879312e-05,0.3387348376575924,3.593480424637345e-05,7.578504654878161e-05,1.2757005083679932e-05,1.8931654378642875e-05,0.0041926241878511,2.3381119217689284e-05,2.6266809973690284e-05,2.1712118034013425e-05,1.552195427573746e-05,0.0042132482814171
9,dh0293,dh0293,256_final-BUSCH_Anna_Skalierbare_Exploration__Prototypenstudie_zur_Vis.xml,Vortrag,2019,2.055337735467914e-05,1.8230414346216287e-05,1.116961857420961e-05,1.3982278898756777e-05,0.30171744152397,0.0887340737477445,1.175760657136822e-05,1.4779794321140349e-05,1.8709184268908376e-05,3.048544792413086e-05,1.808017489125693e-05,0.1338129201110237,5.6816553599590566e-05,1.922223004115772e-05,9.492514153067678e-05,2.4405605742175448e-05,1.3424255597381568e-05,0.0510857414789836,3.1016283656171484e-05,1.8013111589182927e-05,3.663893818331817e-05,0.0909911780052242,0.2927716418156061,5.995126203537002e-05,4.88563058911426e-05,0.0004880188771143467,3.593601085814112e-05,2.237890600445399e-05,1.6755762153506354e-05,5.083640198064469e-05,1.840468127720499e-05,4.961673663834128e-05,1.2471207032365569e-05,3.337501915559889e-05,0.0162660737109396,4.041003464528028e-05,8.327157324740385e-05,2.24355354446515e-05,2.5359926341450008e-05,6.235535305706213e-06,3.516629930360668e-05,7.416430075422434e-05,1.2484182630147344e-05,1.852678032214353e-05,9.3068554536062e-05,2.2881088507544907e-05,2.570506562252873e-05,2.124778073269756e-05,0.0227379101824936,0.0001132515793894972
