type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
DoctoralConsortium,0.008162723873039238,0.0008646214298179626,1.9268027930878434e-05,0.003897668718933598,0.26117615494968527,0.035058680372320544,0.019540432337861142,2.549572198015027e-05,0.000825610337378972,0.0003050183096438233,3.11890072597718e-05,0.01450014288427941,0.024162156076665865,0.015569915110883254,0.11428576542194466,4.210062232528111e-05,2.3157364782252878e-05,0.03833821944064946,0.0001435700698662115,0.009672816722626178,6.320359818767207e-05,0.011575809945019234,0.005185657497958666,0.007454307380584136,0.036967503490506065,0.060574439876621713,0.0016284083857028542,3.860448618647976e-05,2.8904343602419022e-05,0.002281956917097388,0.013390261774929907,0.015089408091756107,2.151331881522116e-05,0.0109640796600538,0.15067114038580776,0.04193151761311509,0.005660337343887741,0.004853120304703268,0.012104695607216182,1.0756541741876605e-05,0.005249861302083407,0.002544971057995898,0.0010906260297790927,0.02226284269899207,0.0032638255956016203,0.0009828831617043204,4.434224132984723e-05,3.6653250950941054e-05,0.024359883318100482,0.01302377798009414
Panel,0.0005975519646669929,0.007992469983569332,1.1995607678339256e-05,0.006256944172575988,0.2032039044529953,0.05591330847060153,1.2627077167348755e-05,0.016033515028700394,0.0073957379422561744,0.01898332976090359,0.00029706776396882324,0.04138973031034237,0.012268235229858327,0.00909599782915092,0.028383112669349002,0.0038725897902395913,0.0004588427798948839,0.01373851806130333,0.0043412895714078,0.0015816101439209067,0.01760551823515637,0.03192556530170077,0.013192022717728482,0.01304562163294398,0.004367764960388858,0.2606295347951609,0.00816407293222482,0.012303333805559747,0.0008725788428189474,0.027038833574701437,0.0141087168284419,0.002501018502065554,0.000780840534759799,0.006361873534484171,0.04081302651475334,6.378828166222656e-05,0.006610096801114542,0.004905019759160777,0.0020443251483076245,6.696650802776222e-06,0.0065472925430454364,0.01406363096050921,0.005218083397078771,0.0003998736085072717,0.05319337559890753,0.0010618179962039267,0.007724903553469682,0.0007578750874027379,0.0007841051949968266,0.011080414095390135
Poster,0.008123690212645527,0.007252942188578219,0.0051738589054610646,0.005357882613521764,0.18411884635286022,0.14832602771242595,0.003052401100367239,0.0038950412151905166,0.00693146030918582,0.007549099038076802,0.005327182145461357,0.03535642086565355,0.016910603149498354,0.004411811883616203,0.033669594750505016,0.007389684657229318,0.0031616965636854823,0.06693444820691437,0.011254366888277086,0.005782000933358324,0.012748734242489384,0.027166917040381027,0.010167932740002623,0.0034436314877955916,0.01869124743124967,0.097261093662076,0.006420733990816444,0.005379413018647051,0.007008964610848818,0.01986368992259957,0.0030165504945838502,0.010080098800665904,0.007313194512580344,0.006949331075390641,0.029446338833531795,0.013911686578513672,0.01277489933969344,0.006894038660607027,0.006977353447469943,0.005593745360334269,0.01413270264251195,0.004000681447316204,0.005768403200478787,0.007099081003528381,0.027176928822244574,0.0038146669275994512,0.00736763953652225,0.007783670511036184,0.008326899420032131,0.03344067154594007
Sektion,0.0023925883133682035,6.107683929073209e-06,3.74212558003306e-06,0.08745431774073507,0.2597132463030242,0.050618450045559114,3.939117528352596e-06,4.951632504665036e-06,6.268084856173201e-06,0.05833448095875708,6.057349631281537e-06,0.025135949105214366,0.058002570184865196,6.439969123778815e-06,0.005857759516189829,8.176540759849459e-06,4.497490216886687e-06,0.10578134731992721,0.004447033334889454,0.00019137882216421125,0.008485631746112086,0.0050936412499376586,0.006762376587615001,0.016358807768523283,0.005700055629795461,0.06583594373571462,1.203953963003715e-05,0.08526571019914324,5.61363539417217e-06,1.7031575338469012e-05,6.1660680839012385e-06,1.662295432368773e-05,0.0009090997831034654,1.1181537855252839e-05,0.028784667016837996,0.0019056472382838572,0.002536503035454327,0.00037820439482572364,0.002716438926319673,2.0890736794325733e-06,0.005219776871234005,2.484705499420216e-05,4.182540241253012e-06,0.1029099506562799,3.118049343513453e-05,7.665786081611405e-06,8.611895112031608e-06,7.118583617738943e-06,5.0890626722580065e-06,0.002998803721535934
Vortrag,0.009926330090251428,0.0028236665810985138,0.005625192622244489,0.0034225608076387023,0.2347826413524115,0.07617215848554847,0.00755680958440274,0.0058331771704061,0.008517114638038344,0.012277606654390311,0.0027779460404865662,0.023297777708253538,0.014484749874608422,0.007536646423630842,0.03473941675599108,0.004040482536989235,0.007432830519432719,0.09523673692838212,0.00784414089374095,0.007895957267483626,0.007099521728757224,0.01818475879118,0.016973221765677993,0.020538912369613666,0.038791102175721064,0.05964094436342796,0.01676188011958225,0.007740101471991891,0.006952454391234011,0.007401045198411246,0.010147611790792908,0.016156010214095712,0.002665540778639142,0.008961388217554114,0.03769168297119264,0.015281575103591176,0.01603759729617776,0.014892890621001994,0.01033552526005485,0.0024794204650553033,0.00951289204401972,0.003330237054573927,0.007680908814787561,0.010562355907692202,0.010535358146752268,0.012932078635823808,0.004383189087221276,0.00779451650307655,0.005841625597795515,0.020469710179073983
Workshop,0.000540330175339566,0.013308487974100697,1.2885614263635597e-05,0.0016843958775147366,0.12153506440773768,0.12035552235715122,1.3563935235179575e-05,0.0023084049958479584,0.004833178291484455,0.013431197776342494,0.008045124772688662,0.01306995760228083,0.007915376718721792,0.001720885663264931,0.02657203693006769,0.02095926334107305,0.0003313943542227206,0.012598910622980316,0.01990826684769996,0.005340734091045668,0.012679383433449614,0.024374204803809942,0.01579834221981458,0.0070473933338041075,0.007484784876772371,0.1609830593344498,0.00544100485702163,0.00010348552123067675,0.006243334830688032,0.03571706365720261,0.0005112315105774812,0.031565627625017294,0.0018464757355608364,0.03726050561688966,0.021251961809299506,0.0014073210286390605,0.005995700685216625,0.0013784471836480528,0.0010837104149190673,0.004754296092397657,0.0006815809181554828,0.1576907588741348,0.0001888072695934301,0.0003691032150464866,0.017164165810884074,0.0003365657312035474,0.01726564285682613,0.0049028536075878815,0.00016729914102938938,0.023820905656066354
unbekannt,0.002739031008931598,0.013502932234886657,0.005384185076410174,0.013929364993242403,0.1749350495169384,0.09017899287793052,0.005183643162093576,0.01894728834722701,0.004720537870516144,0.015231261779450367,0.0005769006761851152,0.043630998669482765,0.007806392157737454,0.003551447898556573,0.05020568404176454,0.010954264807632518,0.002885276793242858,0.027373169560815782,0.0015695319223764151,0.0007068036901475909,0.006861241662989946,0.020000791699537487,0.002034892020960595,0.015424749282667783,0.025460582156857314,0.12740738813099933,0.007838962921899952,0.008755264192029322,0.0016351340028194128,0.014678137212738364,0.00838781771121488,0.005626932557358041,0.015738912927176794,0.0016362386025938725,0.03647325018134037,0.004958817042623844,0.0483231134856154,0.00027567508971506943,0.001727650571428404,0.021121671406833457,0.02256181309724084,0.01019351467898404,0.00016615953079303862,0.005266879715827515,0.013659329326747759,0.00016994187333452374,0.022559700765509266,0.021226992540290195,0.012284354554873032,0.023531333971431003
