year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2014,0.002739031008931598,0.013502932234886657,0.005384185076410174,0.013929364993242403,0.1749350495169384,0.09017899287793052,0.005183643162093576,0.01894728834722701,0.004720537870516144,0.015231261779450367,0.0005769006761851152,0.043630998669482765,0.007806392157737454,0.003551447898556573,0.05020568404176454,0.010954264807632518,0.002885276793242858,0.027373169560815782,0.0015695319223764151,0.0007068036901475909,0.006861241662989946,0.020000791699537487,0.002034892020960595,0.015424749282667783,0.025460582156857314,0.12740738813099933,0.007838962921899952,0.008755264192029322,0.0016351340028194128,0.014678137212738364,0.00838781771121488,0.005626932557358041,0.015738912927176794,0.0016362386025938725,0.03647325018134037,0.004958817042623844,0.0483231134856154,0.00027567508971506943,0.001727650571428404,0.021121671406833457,0.02256181309724084,0.01019351467898404,0.00016615953079303862,0.005266879715827515,0.013659329326747759,0.00016994187333452374,0.022559700765509266,0.021226992540290195,0.012284354554873032,0.023531333971431003
2015,0.0037715223050949144,0.010626407789904884,0.005262388497949198,0.008379074949419172,0.1715954104144045,0.10539858913610725,0.00013399656360848394,0.014974742843435767,0.01770585860699926,0.018223953261488304,0.0023028033477936484,0.03427001910191579,0.006822623686163986,0.005544518022304219,0.04211529316939117,0.008466937570181078,0.0043110350229206415,0.05520781639833065,0.002699365710313064,0.0029191802020398566,0.009388766179742368,0.034012451497713425,0.008522486290505737,0.010690478569402997,0.016496456347421168,0.08935662911819012,0.0057238212601715445,0.008818131758684107,0.0004618045633023745,0.010103753754876564,0.010909070210718063,0.014856412655188847,0.005543718687620919,0.007777318548999522,0.03649235048641969,0.008697587693113453,0.07325316015601192,0.005827741591591676,0.008380852693101374,0.011173916391768565,0.017112405494753912,0.008992748782608475,1.9160493264297967e-05,0.0022701231290939415,0.01211886335456567,0.004570833162859629,0.004169447646180195,0.02596603402426801,0.009254152217998123,0.018307786640096815
2016,0.007206206993499513,0.006840341796321552,0.004532100812907597,0.008531423936221952,0.212463198573573,0.14132305178189958,0.004523112263405226,0.0015974931620538872,0.007321410010829151,0.009647824610852998,0.0008240004349712483,0.023040631008577523,0.016727913009675528,0.0030695939436749496,0.02759278840522499,0.010974883785762094,0.00590650583963721,0.0770597450391783,0.0027456086208172024,0.002921916842494307,0.004537532435660915,0.025200736934672376,0.012351515909050181,0.010389709186007422,0.012451936579310773,0.09803033430725881,0.003170723309160247,0.013039763486470441,0.010075079298959217,0.011231668835558487,0.005690128059685001,0.011207209394231022,0.0044475771214442066,0.003977913402458117,0.03412152444777355,0.022432425560294157,0.008407634912345576,0.007008437350544447,0.006297601034498223,0.005515388041470297,0.014852499447447723,0.00815320066339649,3.3705010446643716e-05,0.009188656359985125,0.018560332123473685,0.0034815038099458126,0.014959880838496838,0.010717195331736635,0.010189568734004364,0.025428867202634677
2017,0.013058148123732951,0.004721011919668958,0.007154760252475721,0.004164443216749049,0.20664387175138077,0.14738199868258647,0.005537627087513441,2.0857623733226306e-05,0.004224746334893409,0.010534630380762586,0.004030837336671219,0.026647971779768697,0.01682460757339418,0.0022935032661372677,0.01864243337405901,0.01796369070281095,0.005652747476619417,0.07444792024685601,0.030812737927843007,0.007313103737237236,0.0045640000636596985,0.02254499646156903,0.01671004306528783,0.0028604363466662418,0.005900833095852056,0.1081130645126588,0.0053131565688072455,0.0009576622590744551,0.002217817126587949,0.019062688475789246,0.004920008052145294,0.00558336192260353,0.004486754188065974,0.013795802778285526,0.025724390917337227,0.023061710100740276,0.006859806834944119,0.008470700782107585,0.006735692746477936,0.00015045463229687586,0.009203847417078363,0.015212572525823177,0.009484939817501743,0.00783490882803768,0.020822196528406417,0.004116607002194861,0.0009442079183502287,0.0038619308522317044,0.002995939641960192,0.029417819742564487
2018,0.0043266255982454295,0.004387354231232178,0.00633030438255461,0.008721502550145858,0.21914791316000362,0.09882936982528454,0.009084702853090505,0.0036558584600439037,0.004410779641558632,0.01202841623325861,0.0041705194597471225,0.019865746402908745,0.015015326437603308,0.0047341153510882545,0.033376907221769274,0.0085003701885581,0.002915309413170667,0.07826836520787067,0.008062929915310282,0.0033466545911434286,0.009075514403521742,0.021297722517200267,0.011287376815811071,0.020156750555444882,0.030998323471597432,0.09577179015458129,0.011964460966825286,0.004591892522431401,0.006216820885136915,0.013659322389117599,0.002713024815022314,0.013108507315401958,0.0067939861265464445,0.01099882473147061,0.03737589475655985,0.010147291684038195,0.006176722788424858,0.011986767954503022,0.007981197930309604,0.0015135959818995826,0.01065087692897729,0.019083513130841962,0.0031794719383081912,0.012847981569139338,0.01673991423898677,0.010106870416910463,0.007909169598673493,0.003954165489813531,0.006782831713001056,0.025750345084915215
2019,0.019678378133039184,0.004009775091410627,0.006545956044946247,0.0019866377846806346,0.19403365901386185,0.11181909715268717,0.00037026684315843636,0.00539901650381865,0.0010655674985459978,0.015607897987747053,0.00854245449676293,0.02251766580327451,0.009599835172140128,0.004560835634876433,0.01669820090765558,0.0026482914229142038,0.0014434507362605323,0.08713045826572888,0.007574062752863955,0.006233658152111854,0.01261865449720429,0.022112539654228044,0.016437331062705517,0.014235873434017474,0.03521108848890026,0.08826274292330136,0.018884113721158263,0.006247613724421388,0.008963012691701855,0.014892017903208285,0.004067300838336254,0.010565114921850223,0.0018339278780664886,0.015658185538580394,0.031097517360462883,0.010889724527003139,0.002608109289578913,0.011028402126616366,0.006706464057438978,0.00258059220808038,0.013147394335081438,0.02750734417002879,0.004482173448139067,0.015701712046588063,0.01780624882322264,0.001967933264309222,0.01727916395524419,0.004527216814275549,0.006308058686170119,0.028907262211594665
2020,0.004913625388476331,0.003554745291792974,0.004201687068850728,0.0032629458348344955,0.2193603407250199,0.09560035188285758,0.006051100051399139,0.008063630518769231,0.01362620677501094,0.010600804872420577,0.0018312123671353972,0.025519784820659464,0.019368594133722185,0.003554449325986843,0.020394591502900482,0.0031263754909770275,0.004035087175662427,0.07343167013519666,0.007493092789407231,0.007597412198120652,0.01882209064929403,0.016241142429122207,0.010680875759455576,0.012086355289947007,0.03409702749058585,0.09339573402411669,0.013908703106584892,0.006211870908401402,0.007936631220226139,0.015482923991778964,0.0031053600411543075,0.019397088339681363,0.005363948803844486,0.015246428501054605,0.03204321464181138,0.014938677229131288,0.0044747170759229,0.016088291878067602,0.008426857956462919,0.006279246252017911,0.007408842521303264,0.026795243273799823,0.004011536508477913,0.011961887418976726,0.017590628975647223,0.0064621881122467455,0.0023668647431850736,0.004939241019025531,0.008888757051131058,0.019759916438344242
2022,0.005168610959976897,0.009648143058123794,0.0025411741657196904,0.00021302657287512603,0.1914450739694091,0.09360603384771812,0.004662118955292884,0.004404187470564552,0.003136953321008727,0.0035091957934836313,0.005004479881863872,0.035801566135454425,0.011518338042046182,0.009787635150193723,0.04363394839964567,0.005446513032888521,0.00802207311279986,0.06062862558743549,0.02098554961575787,0.011843211438772533,0.01588262906148239,0.02038366443376662,0.01766924125417593,0.006510688602598904,0.03772091847270638,0.09338509036806489,0.007332231717340834,0.003902914834954804,0.009443607824934804,0.022703715791224766,0.012175804923846451,0.020607591511516116,0.004809695121808542,0.01265736020229933,0.04179804268522801,0.008832551072014475,0.0029888645405247646,0.00853289889291831,0.011296962690477657,6.789745324007934e-05,0.005908953143895853,0.02233887330779726,0.007916940712828528,0.003077849347302117,0.021962792407461976,0.015801388488729265,0.0021656825750614866,0.0012189202192850587,0.0039772827667720455,0.025922487064711033
2023,0.006529246405978011,0.0028650618474280586,0.00028629077691258876,0.0007535980975935817,0.19413077736909226,0.09066763437766674,0.007014099304312376,0.0015771912131303544,0.006882988148713617,0.006629156251775905,0.007132589805154223,0.0379295033363284,0.025737234124075605,0.011977068370926457,0.0682684374687497,0.0020377127537962204,0.0031200166659456512,0.056599087927418884,0.007678595571179024,0.00996841591607143,0.006829493902483437,0.023107861566574184,0.015603357364853939,0.010604246630590673,0.023162723736525063,0.09761431568678045,0.017411669834572145,0.005401710125531811,0.0037724252496318445,0.023849192384332776,0.0071403047070278895,0.016375894730033657,0.0015578498597263472,0.007675709223724103,0.03517165908582702,0.008221164874942411,0.0022009694502953237,0.006521816297356649,0.004507016154005166,0.0030747058042304405,0.00429222474225691,0.024973749958805875,0.019946055494523874,0.0026794841938009915,0.03531112860688529,0.007353063586005193,0.002941518926706053,0.0010245442712270218,0.001466900035682289,0.032422537782811484
