year,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2014,unbekannt,0.002739031008931598,0.013502932234886657,0.005384185076410174,0.013929364993242403,0.1749350495169384,0.09017899287793052,0.005183643162093576,0.01894728834722701,0.004720537870516144,0.015231261779450367,0.0005769006761851152,0.043630998669482765,0.007806392157737454,0.003551447898556573,0.05020568404176454,0.010954264807632518,0.002885276793242858,0.027373169560815782,0.0015695319223764151,0.0007068036901475909,0.006861241662989946,0.020000791699537487,0.002034892020960595,0.015424749282667783,0.025460582156857314,0.12740738813099933,0.007838962921899952,0.008755264192029322,0.0016351340028194128,0.014678137212738364,0.00838781771121488,0.005626932557358041,0.015738912927176794,0.0016362386025938725,0.03647325018134037,0.004958817042623844,0.0483231134856154,0.00027567508971506943,0.001727650571428404,0.021121671406833457,0.02256181309724084,0.01019351467898404,0.00016615953079303862,0.005266879715827515,0.013659329326747759,0.00016994187333452374,0.022559700765509266,0.021226992540290195,0.012284354554873032,0.023531333971431003
2015,Panel,3.801627963523235e-05,3.3719642163536254e-05,2.0659735663315113e-05,2.586213522868706e-05,0.24657867514260268,0.0299256047487923,2.1747299801140517e-05,0.0007933568697481207,3.4605192550118216e-05,0.014902365049369785,3.344175376430051e-05,0.010174505644102567,0.00010508997875524507,3.5554140803581995e-05,0.0001755770189283,0.00540727884783563,2.482999488980373e-05,0.0005433838798152333,0.0038874669582959556,3.331771102422369e-05,0.10672742204650147,0.0076085025410808325,0.02047601839938726,0.01719616802338717,9.03664130060498e-05,0.31455986678806336,6.646856203643938e-05,4.1392844295841254e-05,3.099207145068663e-05,9.402887126502976e-05,3.4041972662573776e-05,9.177293357100955e-05,2.3067201353326537e-05,6.173165797306947e-05,0.031760463975868236,7.474388031875771e-05,0.0019169916285911,4.149758818279397e-05,0.001809876125142641,1.153347451206722e-05,0.014911022923543071,0.010714993865960499,2.3091201494286045e-05,3.426781152863836e-05,0.12962945891957867,4.232169944874287e-05,0.02231651210325347,3.930067355954224e-05,2.809598110332941e-05,0.006748929798109533
2015,Poster,0.000628713641446646,0.0035293858884350663,0.0007145789522412362,0.014280753449027966,0.1485252056760275,0.15181536640688253,0.00027776020837790645,0.01142755257303623,0.01918219185918117,0.020808725745501733,0.004433226920262046,0.04153527861838033,0.013711157040172778,0.003473712639725423,0.049105926754572,0.016920369472099493,0.0007497666793529603,0.04442054817392736,0.005418315302198167,0.0007160390402693408,0.011852180604210746,0.03419726752976177,0.006271979300845422,0.0028627891829362366,0.020589249725473595,0.09318260824479657,0.005141637586877529,0.008887225821327742,0.0006199103243792683,0.008690433076419807,0.007670116413556625,0.008138810217261061,0.00712566828003107,0.009476182765932904,0.02147662463501271,0.006919081774411691,0.05479428070355475,0.005535443706330852,0.004502077118816144,0.015420663345620604,0.02847187353844918,0.0031915719312921496,2.15642599387295e-05,0.00026129022072804425,0.013801267126775964,0.0005394173892041986,0.005398945170322582,0.023599074886884164,0.01583435389116779,0.023851836186561455
2015,Vortrag,0.007484627604918528,0.0070575329966523605,0.010606365154795214,0.0017428918608480713,0.19892878131291294,0.058626968825298685,1.5236408821763976e-05,0.02106345315456797,0.015040502294403353,0.018270040977267282,0.0006515330757997538,0.03243242418652824,0.001371535617188065,0.008540926757540316,0.0418289204949553,0.0015457404032116402,0.008528517785995369,0.0742154910474503,0.0002194956251989141,0.005570562592285578,0.00338870036927505,0.024562362798490348,0.0112172166528426,0.019329303804031014,0.015194006086100552,0.07002449515962318,0.00727818412725751,0.010334085549919996,0.0003866388677192781,0.0035852658470253832,0.015981826266939333,0.01991359000748774,0.005009214798360487,0.0014455677656494647,0.052883436831372956,0.011972886847497732,0.09867821623592468,0.007153969072723314,0.013548698696203192,0.009079321358566237,0.008469507503186613,0.001854513960306785,1.6177961832954457e-05,0.00461635572829108,0.005517016906823205,0.009286782103439814,0.002628465831170111,0.03251869295363194,0.004553472266176862,0.015830479465490335
2015,Workshop,3.737304789322201e-05,0.0941518726671983,2.031017495175428e-05,0.01858754687048039,0.10520249298573335,0.14801083077929794,2.1379337610486164e-05,2.687470538218861e-05,0.033767962786119904,5.543293861898543e-05,3.287592255366947e-05,0.0037362089444998876,0.00010331186656881174,3.4952568210361324e-05,0.0084703556776796,4.437771255427117e-05,2.440987379904149e-05,0.010329562548210975,0.0011105839011622363,3.2753978604651344e-05,0.00046959065406670345,0.11460784045166997,9.008178560139322e-05,0.00010901183531264253,0.0023955721522598305,0.12409634036733791,0.00028691625098507687,4.0692481409239874e-05,3.046768862577552e-05,0.07398411088721474,0.00019472512536728635,0.03137449321923388,2.267690655719787e-05,0.046421139756294943,0.024025752701734324,7.347922115684436e-05,0.04227240670633158,4.0795453039845674e-05,4.6112992788108594e-05,1.133832924869554e-05,6.394432240605775e-05,0.10555962667485976,2.2700500618114142e-05,3.368800350123686e-05,0.005983741361671188,4.160562042358693e-05,4.6740573679511376e-05,0.0031808583325896216,2.7620599844511135e-05,0.000644459757039725
2016,Panel,2.986069751697113e-05,0.003476931899447365,1.622762993491598e-05,0.0066316717702186905,0.20006286662798553,0.0964951577678032,1.7081880378713034e-05,2.1472625154042926e-05,0.012840308750613913,0.03652773122441909,2.6267538622252266e-05,0.006974298132454399,0.015001159784380838,2.79267580678157e-05,0.0001379107136062692,0.00450074052765748,1.950324897298006e-05,0.007173597267878317,0.0002480290069522641,0.0005916850953052019,5.3230387957904704e-05,0.056463036917869636,0.0019778258480802518,0.004363321443825395,0.00032460071049956064,0.36826710443708816,5.2209149459178494e-05,3.251289223313935e-05,2.4343383410817388e-05,0.00190056373423476,2.6738993355258212e-05,0.0015419027403351484,1.811862519909468e-05,4.84884471505882e-05,0.013151080895895966,5.87091746709064e-05,0.00012097998385342423,3.259516555275551e-05,0.0005440847962611891,9.059213500874978e-06,0.03336522203127996,0.0047759991945619225,1.8137476621601903e-05,2.6916383308505512e-05,0.07711389093388474,3.3242481320341085e-05,0.036850308189733845,0.005497514442864007,2.206858748985863e-05,0.002465764391130387
2016,Poster,0.004863158589010804,0.004511210247898079,0.004140129203476092,0.0022783450720957965,0.1974643961342315,0.17948442526542152,2.545577670438554e-05,0.003200132381236057,0.0056772751111859275,0.0007983155169437402,0.001628258386474194,0.03032953171839816,0.02241459362727903,0.004662597691812361,0.005083912539815756,0.008510383255091439,0.010147041874098671,0.07304961163876954,0.0023533252750604404,0.005142274541454099,0.007664169882288554,0.02988435276578463,0.016157697967102827,0.004965727463483999,0.0014023401149138397,0.10395176180929937,0.0012800216802845417,0.008583848714449002,0.010819010364604099,0.014441671964384502,0.005027338463266106,0.0067707305455796335,0.0036173696344433083,0.0015674467179603625,0.027060307956743957,0.03211022322881366,0.013705541126086365,0.0075228863031119525,0.0036702950152714517,0.01116381221837402,0.02014372257448725,0.001977772718541182,2.7028848383452753e-05,0.0009463560615535755,0.02370107490334382,0.0031760079708698197,0.017855878441255572,0.008827525824914667,0.010906791765552556,0.03530691310839351
2016,Sektion,0.0023925883133682035,6.107683929073209e-06,3.74212558003306e-06,0.08745431774073507,0.2597132463030242,0.050618450045559114,3.939117528352596e-06,4.951632504665036e-06,6.268084856173201e-06,0.05833448095875708,6.057349631281537e-06,0.025135949105214366,0.058002570184865196,6.439969123778815e-06,0.005857759516189829,8.176540759849459e-06,4.497490216886687e-06,0.10578134731992721,0.004447033334889454,0.00019137882216421125,0.008485631746112086,0.0050936412499376586,0.006762376587615001,0.016358807768523283,0.005700055629795461,0.06583594373571462,1.203953963003715e-05,0.08526571019914324,5.61363539417217e-06,1.7031575338469012e-05,6.1660680839012385e-06,1.662295432368773e-05,0.0009090997831034654,1.1181537855252839e-05,0.028784667016837996,0.0019056472382838572,0.002536503035454327,0.00037820439482572364,0.002716438926319673,2.0890736794325733e-06,0.005219776871234005,2.484705499420216e-05,4.182540241253012e-06,0.1029099506562799,3.118049343513453e-05,7.665786081611405e-06,8.611895112031608e-06,7.118583617738943e-06,5.0890626722580065e-06,0.002998803721535934
2016,Vortrag,0.012445830331536987,0.0009636389126264355,0.006547147079937517,0.011549098385145864,0.24561897598782687,0.10227255007142518,0.011872278050770704,3.965656370118444e-05,0.008681090483207596,0.01584518914142717,4.468703654852794e-05,0.012501961701365298,0.00856083866119501,0.0016589649198605887,0.055219692152826155,0.011182122717691584,0.0023563740845211883,0.09702508794202332,0.0037662758723225344,0.0008018236512851493,0.0012621882231110503,0.01781373071881932,0.010153254700937702,0.01908693742313023,0.02984108216534388,0.0580307729259422,0.006668758234205946,0.016063736743204965,0.010964018891478496,0.0005632350989268613,0.00843986744495772,0.01363161394183968,0.0069281373881299796,0.008292506059348028,0.04979466606417246,0.017152213360844833,0.0022107359805321595,0.00863442966763244,0.011524068125519347,7.986803315177181e-06,0.008276880718649156,0.0024768671988613707,1.5990401197230583e-05,0.014382566754578484,0.009355219647865844,0.005028462390841665,0.012229407987073004,0.0123234195772336,0.012646606771523645,0.017247354843538114
2016,Workshop,4.026770954648343e-05,0.07224323776764881,2.1883262722702074e-05,2.7393762872985096e-05,0.10343116506687014,0.15120453441301482,2.303523543637442e-05,2.8956236953677815e-05,0.012890744568675939,5.972639635907612e-05,3.542226751872538e-05,0.03967477654638621,0.00011131369985085408,0.002397285283735203,0.06886862209864036,0.04136100614689325,2.630049630991919e-05,0.009346267959760244,6.076639765452093e-05,0.000883224791213287,7.178217454959797e-05,0.024185183228996543,0.004040550234787744,0.00011745514933756362,0.004123404248357266,0.15110296428487863,7.04050153180924e-05,4.384424376610349e-05,0.009996050981143466,0.06698562406428193,3.605803305106797e-05,0.04615452600103107,2.443330523287607e-05,0.0009280301838236253,0.007776339756919889,7.917042098625308e-05,0.012591283822615856,4.395519087763283e-05,4.9684591024405375e-05,1.2216518980023386e-05,0.00584238802488175,0.10628301893293426,0.00023644220487674235,3.629724672348024e-05,0.006632911789509966,4.482810830694237e-05,0.0017770295806913779,0.025815999317972866,2.975990331899401e-05,0.02213243333275961
