idno,filename,type,year
dh0816,PERNES_Stefan_Big_complex_heterogeneous_Laufende_Projekte_aus_dem.txt,Poster,2015
dh0817,PETER_Birgit_Digitalisierung_eines_NS-Bildarchivs_Konstruktion_von_NS-Lebenswelt.txt,Poster,2015
dh0818,PETER_Dorothea_Der_Presenter_Eine_Webanwendung_zur_Visualisierung_und_Pr„sentation_von_individuell.txt,unbekannt,2014
dh0819,PETERSEN_FREY_Fynn_Erweiterbare__interaktive_Softwareplattfo.xml,DoctoralConsortium,2023
dh0820,PFEIFFER_Jasmin_Realität_programmieren__Zum_Einfluss_von_Alg.xml,Vortrag,2018
dh0821,PFEIL_Patrick_Digital_Humanities_in_der_Hochschullehre_Erfahrungen_aus_dem_Lern-Lehr-Projekt.txt,Poster,2015
dh0822,PHILIPPS_Axel_Visualisierung_von_Kultur_im_Web.txt,Poster,2015
dh0823,PHILIPPS_Axel_Zur_Sichtbarkeit_von_Street_Art_in_Flickr_Methodische_Reflexionen_zur_Zusammenarbeit.txt,unbekannt,2014
dh0824,PICHLER_Axel_Urheberrechtlich_gesch_tzte_Texte_nachnutzen___.xml,Poster,2023
dh0825,PIEL_Pattrick_Wie_die_OPERAS_Projekte_PRISM_und_TRIPLE_Open_.xml,Poster,2023
dh0826,PIELSTRÖM_Steffen__Embedded_Humanities.xml,Workshop,2018
dh0827,PIELSTRÖM_Steffen_LDA_Topic_Modeling_über_ein_graphisches_In.xml,Poster,2018
dh0828,PIOTROWSKI_Michael_Das_Labeling_System_ein_freier_Baukasten_für_kontrollierte_Vokabulare.txt,Poster,2015
dh0829,PITTROFF_Sarah_Bilder_im_Kontext__Die_Entwicklung_des_Corpus.xml,Vortrag,2023
dh0830,PLUTTE_Christoph_Die_DARIAHDE_Architektur_zur_forschungsorientierten_Föderation.txt,unbekannt,2014
dh0831,PÖCKELMANN_Marcus__Entwicklungsstand_im_Projekt_Digital_.xml,Poster,2018
dh0832,PODTERGERA_Irina_SlaVaComp_Kirchenslavisch_digital_wozu.txt,unbekannt,2014
dh0833,POLLIN_Christopher__MEDEA__Datenkonsistenz_mittels_Ontologie.xml,Poster,2018
dh0834,POLLIN_Christopher_DigEdTnT___Digital_Edition_Creation_Pipel.xml,Poster,2023
dh0835,poster-BAILL.xml,Poster,2017
dh0836,poster-BAUMA.xml,Poster,2017
dh0837,poster-BREIT.xml,Poster,2017
dh0838,poster-BUERG.xml,Poster,2017
dh0839,poster-BURGH.xml,Poster,2017
dh0840,poster-DOEHL.xml,Poster,2017
dh0841,poster-DRUSK.xml,Poster,2017
dh0842,poster-EDERE.xml,Poster,2017
dh0843,poster-ENGEL.xml,Poster,2017
dh0844,poster-GRUMT.xml,Poster,2017
dh0845,poster-HEGEL.xml,Poster,2017
dh0846,poster-HELLR.xml,Poster,2017
dh0847,poster-HERME.xml,Poster,2017
dh0848,poster-HOHEN.xml,Poster,2017
dh0849,poster-KLUGH.xml,Poster,2017
dh0850,poster-KUCZE.xml,Poster,2017
dh0851,poster-LAUBR.xml,Poster,2017
dh0852,poster-LEJTO.xml,Poster,2017
dh0853,poster-MATHI.xml,Poster,2017
dh0854,poster-ODEBR.xml,Poster,2017
dh0855,poster-PEUKE.xml,Poster,2017
dh0856,poster-PIELS.xml,Poster,2017
dh0857,poster-POECK.xml,Poster,2017
dh0858,poster-PONZE.xml,Poster,2017
dh0859,poster-REGER.xml,Poster,2017
dh0860,poster-RIECH.xml,Poster,2017
dh0861,poster-SCHAE.xml,Poster,2017
dh0862,poster-SCHEL.xml,Poster,2017
dh0863,poster-SCHUJ.xml,Poster,2017
dh0864,poster-SCHUL.xml,Poster,2017
dh0865,poster-SELTM.xml,Poster,2017
dh0866,poster-TABTI.xml,Poster,2017
dh0867,poster-VANDY.xml,Poster,2017
dh0868,poster-WETTL.xml,Poster,2017
dh0869,poster-WUTTK.xml,Poster,2017
